IdUser ; nbreMess ; Jour ; BeginTime; endTime; Q1 ;  Q2  ;  Q3  ;  Q4  ;  Q5  ;  Q6_1 ;  Q6_2 ; Q6_3  ; Q6_4  ; Q6_5 ;  Q6_6 ; Q6_7  ;  Q6_8; Q6_9 ;  Q7  ;  Q8  ;  Q9 ; type
0;1;2016-03-08T00:00:00.000Z;10:39:31;10:39:55;2;;2;3;5;0;0;2;0;3;0;null;null;null;4;2;6;computer
0;2;2016-03-11T00:00:00.000Z;8:48:1;8:48:27;3;;2;4;3;0;2;0;4;0;0;0;0;0;2;3;5;computer
0;3;2016-03-14T00:00:00.000Z;9:44:13;9:45:19;3;Je commence ma journée de travail;5;6;6;6;0;0;0;0;0;0;0;0;6;1;2;computer
0;4;2016-03-15T00:00:00.000Z;9:13:14;9:13:50;3;Lire mes mails;5;4;6;0;0;0;0;6;4;0;0;0;2;2;1;computer
1;1;2016-03-08T00:00:00.000Z;17:32:37;17:33:33;1;Une pause entre deux projets ;7;5;5;0;0;0;0;0;0;null;null;null;3;1;2;smartphone
1;2;2016-03-14T00:00:00.000Z;9:12:46;9:13:39;1;Travail sur du shell;2;6;5;5;0;3;0;3;0;5;0;0;6;2;4;computer
1;3;2016-03-15T00:00:00.000Z;21:15:12;21:17:19;3;Je suis sur Titanpad pour compléter un travail de groupe dans le cadre du module de psychologie clinique. ;5;7;7;7;5;0;0;4;4;5;0;0;4;6;2;computer
1;4;2016-03-16T00:00:00.000Z;9:3:10;9:4:20;1;;4;6;7;0;0;0;0;0;5;0;0;0;2;2;2;computer
1;5;2016-03-16T00:00:00.000Z;11:5:30;11:7:55;1;;6;3;5;4;0;0;0;5;0;5;0;0;2;1;1;computer
1;6;2016-03-16T00:00:00.000Z;11:39:20;11:42:12;3;rédaction d'une liste de principes béhavioristes utilisées dans un logiciel d'aide aux maths. Psycho de l'éducation.;5;7;5;4;0;2;0;0;4;7;0;0;2;1;2;computer
1;7;2016-03-16T00:00:00.000Z;11:46:31;11:52:24;3;Evaluer et corriger un texte dans le cadre d'un travail de groupe (mais action solitaire en ce moment).;5;7;6;6;2;2;1;3;4;4;0;0;4;2;2;computer
1;8;2016-03-16T00:00:00.000Z;12:34:11;12:36:49;2;;4;4;5;6;4;4;7;7;7;7;0;2;7;5;2;computer
1;9;2016-03-17T00:00:00.000Z;9:10:52;9:13:32;3;relire mes notes (synthèse de documents lus);7;7;7;7;5;0;0;0;0;6;0;2;2;1;1;computer
1;10;2016-03-20T00:00:00.000Z;9:54:52;9:55:54;3;médecine comportementale : addiction à une substance ;4;6;6;6;0;0;0;0;0;6;0;0;3;1;1;computer
1;11;2016-03-22T00:00:00.000Z;10:58:56;11:0:59;3;En train lire une lecture de psychologie de sociale. ;4;4;1;7;5;4;2;7;7;7;0;7;7;7;4;computer
2;1;2016-03-15T00:00:00.000Z;14:43:46;14:44:31;1;Essai;2;3;3;0;2;0;0;0;0;3;0;0;3;3;2;smartphone
3;1;2016-03-16T00:00:00.000Z;9:1:32;9:3:1;3;Un travail de groupe sur le site gomaths;6;6;7;6;6;0;0;0;0;7;0;0;3;2;1;smartphone
4;1;2016-03-16T00:00:00.000Z;22:26:50;22:28:26;3;Nous avons fait un skype pour une activité de psychologie clinique et de psychologie de l'éducation, ceci, avant la restitution de travaux de groupe.;6;6;6;7;5;0;0;0;2;0;0;0;6;6;6;computer
4;2;2016-03-17T00:00:00.000Z;21:54:7;21:55:25;3;Je fais des résumés des textes à lire en psychologie clinique. ;5;5;5;6;0;0;2;0;0;0;0;0;1;4;4;computer
4;3;2016-03-18T00:00:00.000Z;21:48:7;21:51:27;2;;2;6;2;0;6;0;0;0;2;0;0;0;1;1;1;computer
4;4;2016-03-19T00:00:00.000Z;21:16:20;21:17:21;2;;2;7;2;0;6;0;0;0;0;0;0;0;1;6;4;computer
4;5;2016-03-21T00:00:00.000Z;21:53:30;21:55:58;3;Je lis des articles en lien avec la psychologie clinique et fais des fiches de lecture pour résumer. ;5;6;6;7;5;0;0;0;0;5;0;0;2;2;2;computer
5;1;2016-03-17T00:00:00.000Z;9:6:41;9:8:4;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
5;2;2016-03-18T00:00:00.000Z;9:11:10;9:11:58;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
5;3;2016-03-19T00:00:00.000Z;16:47:8;16:47:15;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
5;4;2016-03-20T00:00:00.000Z;9:17:1;9:18:48;3;Description du domaine de travail du psychologue référant de stage;5;5;6;0;0;4;0;1;0;6;0;0;1;1;1;smartphone
5;5;2016-03-21T00:00:00.000Z;14:10:56;14:11:6;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
5;6;2016-03-22T00:00:00.000Z;9:10:25;9:10:34;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
6;1;2016-03-17T00:00:00.000Z;9:59:49;10:1:40;3;Finaliser le devoir de psychologie de l'éducation;4;5;5;5;0;0;0;0;2;0;0;0;5;2;1;computer
6;2;2016-03-18T00:00:00.000Z;9:20:49;9:21:32;2;;7;2;2;0;0;0;4;0;0;0;0;0;3;1;1;computer
